,pull,train,push
0,6.633361,17.243632,7.477209
1,7.143462,16.871336,6.350538
2,6.670218,16.929094,6.04694
3,7.152111,16.885751,5.926898
4,6.614522,16.85431,6.442532
5,6.609606,17.001331,6.048392
6,6.651969,16.378156,6.210736
7,6.59851,16.328415,6.161194
8,6.643134,16.48474,6.000324
9,6.583289,16.662282,6.076239
10,6.703315,16.753111,6.188016
11,7.046386,16.823975,5.781244
12,6.591842,16.60079,5.89258
13,6.630503,16.77705,6.341391
14,6.516799,16.651194,6.006219
15,6.715952,16.573276,6.144541
16,6.705571,16.706258,6.108162
17,6.962437,16.620083,6.062092
18,6.663343,16.293368,6.047195
19,6.668589,16.866228,6.990619
20,6.778435,16.736233,7.377523
21,6.625943,16.760437,6.138134
22,6.513153,16.84336,6.263566
23,6.627686,16.536901,6.922453
24,6.643918,16.689001,5.952791
25,7.062948,16.853728,6.004547
26,6.570092,16.845281,6.160257
27,6.557458,16.802711,6.060791
28,6.567549,16.028823,5.965954
29,7.063178,16.717067,6.163736
30,6.819002,17.075021,6.113197
31,6.67093,16.703063,6.021987
32,6.698773,16.66831,6.029476
33,6.919511,16.906104,5.999039
34,6.666074,16.592349,6.200071
35,7.122753,17.06902,6.018373
36,7.079436,16.147351,6.044306
37,6.692727,16.408638,6.120178
38,6.662982,16.06408,6.172363
39,7.005661,16.683408,5.954038
40,6.752199,16.757142,6.411252
41,6.616586,16.728428,5.949235
42,7.035438,16.061802,5.879002
43,6.702972,16.730783,6.145744
44,6.604339,16.551275,6.190985
45,7.264812,16.442051,6.074679
46,7.02994,16.718164,6.110245
47,6.926909,16.19254,6.024676
48,6.958369,16.576139,5.969393
49,7.059257,16.728716,6.139851
,6.77607898,16.65844612,6.17761806
