,pull,train,push
0,4.661677,16.940312,4.7542
1,4.908548,16.871299,5.278361
2,4.615033,17.367356,4.856112
3,4.62669,17.337871,5.158996
4,4.618816,16.692551,4.778002
5,4.696377,17.328827,5.186259
6,4.823446,16.934134,4.871002
7,4.642032,17.239435,4.62468
8,4.675088,17.070258,5.112014
9,4.569683,17.087057,4.58068
10,4.744178,16.976988,4.69222
11,4.9846,16.711182,4.623518
12,4.996969,16.849866,4.716408
13,4.597133,16.94572,4.643781
14,4.930797,17.424444,5.404609
15,4.682859,17.097728,4.694297
16,5.004395,17.000799,4.71611
17,4.635549,16.957557,4.585475
18,4.718503,17.244634,5.624491
19,4.919855,16.510888,5.826544
20,4.661077,17.111409,5.262346
21,4.9212,16.552142,4.847692
22,4.619009,16.904902,4.613269
23,4.631371,17.009158,4.658176
24,4.824521,17.096105,4.695236
25,4.703308,17.108331,5.182314
26,4.863775,16.811367,4.892388
27,4.630074,16.514937,5.375135
28,4.928519,16.895428,4.580655
29,4.620938,16.912359,4.614097
30,4.684554,16.927539,4.891992
31,4.670185,16.713957,4.773378
32,4.654926,85.443702,4.904844
33,4.643934,16.814843,4.612553
34,4.600133,16.560825,4.734538
35,4.706335,16.747454,4.730769
36,4.735447,16.302586,4.967521
37,4.980534,16.767596,5.119901
38,4.954431,32.131911,5.310037
39,4.904337,19.864548,36.82192
40,4.995171,17.952066,5.445644
41,4.933805,18.327557,5.570415
42,5.761837,18.55802,36.41634
43,4.945438,21.849875,7.110513
44,5.192644,21.177337,8.109436
45,5.064055,17.299779,5.023754
46,4.727311,16.789563,4.784942
47,4.627808,17.110444,5.51487
48,4.677025,16.804694,4.674371
49,4.561493,17.024993,6.141453
,4.78954846,18.93348666,6.34216516
