,pull,train,push
0,4.405807,17.355023,6.183747
1,3.829635,16.949821,4.740859
2,3.716938,16.790813,4.745837
3,3.670973,16.653529,5.16031
4,3.668689,16.563966,4.798331
5,3.666888,16.661088,4.917511
6,3.804415,16.71688,4.816295
7,3.727107,16.620527,4.871742
8,3.659878,16.283124,4.649083
9,3.574692,16.82627,4.760282
10,3.715844,16.867483,4.855328
11,3.645211,16.708144,4.726398
12,3.735434,16.823556,4.965821
13,4.240878,16.86952,4.873923
14,3.622313,16.646834,5.11086
15,3.73488,16.859342,4.715209
16,3.772227,16.937168,4.841458
17,3.607394,16.819021,4.951986
18,3.737969,16.520338,4.730341
19,3.695696,16.413809,4.894481
20,3.791985,16.620143,4.935367
21,3.631608,16.70766,5.02954
22,3.672964,17.108465,5.507931
23,3.725105,16.757553,5.175069
24,3.724882,16.638966,4.966786
25,3.759344,16.554132,4.994431
26,3.84399,16.623733,4.966289
27,3.797503,16.367132,4.871123
28,4.133442,16.804445,4.906786
29,3.634721,17.078859,4.889537
30,3.827026,16.75156,4.858114
31,3.713249,17.1076,5.563622
32,3.752016,16.952714,4.99534
33,3.753403,16.442937,5.064857
34,3.67563,16.468537,4.888316
35,3.774628,16.804881,5.659503
36,3.725088,16.573425,5.460441
37,3.70767,17.03448,5.533194
38,3.697253,16.779828,4.772307
39,3.614151,17.017074,5.288619
40,3.725503,17.104473,4.912389
41,3.776958,16.9738,4.924236
42,3.718598,16.765101,5.049752
43,3.719302,16.596615,5.551764
44,3.706369,16.641881,4.888262
45,3.773663,16.856256,4.955209
46,3.70388,16.869856,4.93325
47,3.768059,16.603936,5.073044
48,3.798469,16.74103,4.862067
49,3.733485,16.61783,5.541503
50,3.736056,16.600471,4.922427
51,3.6726,16.388278,4.854769
52,3.714799,16.514049,4.766886
53,3.917045,17.07512,4.802465
54,3.665138,16.805629,5.193612
55,3.679034,16.523908,4.879589
56,3.778539,16.663879,4.781407
57,4.105616,17.378671,4.692385
58,3.654645,16.753554,5.452594
59,3.594977,16.878606,4.714865
60,3.664002,16.43924,4.64524
61,3.583556,16.661541,4.816237
62,3.650291,16.748196,4.676032
63,3.652185,17.110029,4.864953
64,3.649027,16.4434,4.957243
65,3.66451,16.440096,4.636471
66,3.587758,17.045223,4.763268
67,3.594423,16.553595,4.9063
68,3.695339,16.720026,4.82392
69,3.77612,16.651105,5.047901
70,3.708873,16.680074,4.926274
71,3.622347,16.466933,5.053949
72,4.113076,16.825028,5.378729
73,3.594147,16.596164,4.952405
74,3.616147,16.703211,4.956632
75,3.699032,16.443714,4.677805
76,3.516731,16.764579,4.670851
77,3.586489,16.536106,5.976213
78,3.995789,16.345971,5.021543
79,3.710675,16.823338,4.89839
80,3.660958,16.72483,4.62228
81,3.673156,16.888729,4.593274
82,3.640728,16.742747,4.976007
83,3.633894,16.504235,4.833024
84,3.688898,16.795704,4.836888
85,3.71707,16.61443,4.810278
86,3.72907,16.439738,4.670188
87,3.607978,16.848644,4.955936
88,3.607938,16.565415,4.77876
89,3.676765,16.906546,4.880115
90,3.717077,16.663048,4.854333
91,3.663832,16.491966,4.682318
92,3.626183,16.654931,4.85752
93,3.570029,17.035368,5.35851
94,3.697856,16.634494,4.97584
95,3.680995,16.708475,5.399048
96,3.594109,16.580189,4.687013
97,3.717612,16.418604,4.860792
98,3.626408,16.891892,4.959964
99,3.668585,16.77582,4.913251
,3.72010919,16.72316697,4.96545144
