,pull,train,push
0,5.685795,16.668803,5.951721
1,4.919633,16.906043,5.957493
2,5.964367,16.733891,4.858004
3,6.191477,17.000979,6.533523
4,5.652272,17.592095,6.935201
5,6.645583,17.391937,5.718066
6,6.045567,17.22644,7.395814
7,5.574899,17.050481,7.586927
8,6.263553,17.016161,6.019996
9,6.014917,17.418399,6.827676
10,5.783371,17.90176,7.306069
11,6.810611,17.239215,6.052272
12,6.672277,17.253146,6.551144
13,5.280589,17.099999,6.198476
14,6.422649,16.99845,5.40598
15,5.938649,17.076457,5.82272
16,4.927068,16.696194,5.57673
17,5.643813,16.588214,5.7388
18,5.925299,17.158219,5.883744
19,4.948906,16.7719,5.920316
20,5.917816,16.779459,4.91303
21,5.977613,16.989944,6.566742
22,4.984552,16.955626,5.872214
23,5.967333,16.807401,5.932082
24,6.219955,17.162884,6.908327
25,5.336372,17.325336,7.151819
26,6.608808,17.399036,5.848863
27,6.423214,17.290185,9.27587
28,5.264029,17.020034,6.713094
29,6.62096,17.230719,5.747683
30,6.050048,17.618361,6.708345
31,4.824336,17.530561,6.554338
32,6.077238,16.954978,4.961381
33,5.919724,16.802234,6.248805
34,5.01416,17.545093,6.265501
35,6.303323,17.380997,5.274949
36,6.305354,17.298519,5.708358
37,4.826409,16.677209,5.749731
38,5.614401,16.570492,6.226248
39,6.423099,17.304114,6.578756
40,5.369636,17.259993,6.606987
41,6.621612,17.068124,6.690738
42,6.451958,17.099037,7.075355
43,5.031782,17.267015,6.769683
44,6.251904,17.29232,5.847272
45,6.114586,17.110434,6.760978
46,5.110442,17.202211,5.735975
47,6.088886,16.903437,5.419634
48,6.00604,17.413933,6.165162
49,4.831093,17.082952,5.709065
