,pull,train,push
0,2.983121,2.169127,2.693114
1,2.612033,1.960708,3.110712
2,2.75129,2.019681,2.718253
3,2.608276,1.948178,2.738788
4,2.797026,2.073468,2.6825
5,2.76851,1.864763,2.727781
6,2.932554,1.90578,2.768242
7,2.755903,1.963471,2.946587
8,2.675511,1.931178,2.891833
9,2.812834,1.973823,2.681111
10,2.795752,2.007141,2.646319
11,2.575082,2.030656,2.710872
12,2.760043,1.846756,2.687958
13,3.248635,1.996976,2.937619
14,2.630258,2.039188,2.613797
15,2.864196,2.094662,2.683933
16,2.796477,2.19447,2.93127
17,2.714422,2.424008,2.677608
18,2.812178,2.013111,2.73391
19,2.768052,2.270872,2.607704
20,3.425338,1.872257,2.627957
21,3.004821,2.062207,2.707559
22,2.624452,1.926535,2.777157
23,2.776085,1.921008,2.688595
24,2.676137,1.942949,2.684519
25,2.70487,1.952443,2.627737
26,2.613025,2.33613,2.717273
27,2.578995,1.734564,3.00013
28,2.700713,2.071843,2.627787
29,2.730419,2.122264,2.708698
30,2.649508,1.957832,2.726683
31,2.686754,1.867647,3.03338
32,2.654648,1.95851,2.738566
33,2.673681,1.945793,3.167436
34,2.696093,1.839871,2.687793
35,2.719701,1.937206,2.684658
36,2.718273,1.845933,2.660704
37,3.023441,2.631576,3.226138
38,2.739218,2.411645,2.997086
39,2.731523,1.916245,2.685066
40,2.737569,1.809123,2.649981
41,2.932563,2.379058,2.778076
42,3.174013,1.809149,2.609515
43,2.64313,2.169081,2.609661
44,2.634012,1.884385,2.706681
45,2.748823,1.997706,2.733752
46,2.944463,1.779979,2.715059
47,2.611217,2.208705,3.04088
48,2.616435,2.005215,3.214919
49,2.70884,2.288774,2.612612
50,2.687052,2.138913,2.917865
51,2.776076,1.844233,3.073482
52,2.659019,1.95885,2.645242
53,2.973281,2.019752,2.835281
54,2.999425,2.092917,2.703358
55,2.759725,2.214962,2.636745
56,2.684041,1.826605,2.752715
57,2.582096,2.401472,2.655678
58,2.61949,1.838336,2.672341
59,2.697668,2.757352,3.193189
60,2.712542,1.923687,2.655858
61,2.613871,1.954258,2.633299
62,2.67586,1.905184,2.740701
63,2.720645,1.94947,2.612028
64,2.907409,2.090981,2.774564
65,2.752759,1.848439,2.662807
66,3.893734,1.929558,2.744546
67,2.666561,1.965731,2.958984
68,2.738774,2.008794,2.929599
69,2.700767,2.052943,2.565359
70,2.658452,1.955665,2.711491
71,2.63979,2.378413,2.731657
72,2.690366,1.854782,2.758294
73,2.50968,1.836386,2.64319
74,3.588497,1.827761,3.209803
75,2.746845,2.867364,2.892091
76,2.846739,1.859767,2.604434
77,2.594594,2.055617,3.114087
78,2.774422,1.855224,3.049982
79,2.73433,1.856649,2.628027
80,2.684774,1.866682,2.767628
81,2.650493,2.00915,2.568274
82,2.692943,1.909086,3.172116
83,2.590726,1.930437,2.634546
84,2.584395,1.831664,2.705449
85,2.643601,2.332474,2.865105
86,2.646735,1.976758,2.763911
87,2.585339,2.00676,3.105718
88,2.58985,2.122158,2.71888
89,2.549208,2.267062,2.687523
90,3.584922,1.892448,2.774674
91,2.823369,2.074582,2.701301
92,2.747436,2.015142,2.916902
93,2.613847,1.801005,2.887344
94,2.696963,1.957798,2.714894
95,2.704741,1.828909,2.604001
96,2.722044,1.868842,3.697854
97,2.694926,1.778839,2.582717
98,3.437569,1.827629,2.632476
99,2.614986,1.788841,3.004018
,2.7700429,2.01469981,2.78847997
