,pull,train,push
0,2.632486,14.109826,3.827082
1,2.633473,1.713009,2.671368
2,2.725848,1.880523,2.810947
3,2.704246,1.936786,2.901043
4,3.090328,1.916048,2.990631
5,2.712844,1.949573,3.145906
6,3.225832,1.959173,2.930714
7,2.76597,1.904726,2.871505
8,2.869473,1.951416,3.159693
9,2.63995,1.909605,2.904589
10,2.790412,2.604304,3.127093
11,2.424196,2.510678,2.834392
12,2.684127,2.051908,2.690127
13,2.487712,2.018203,2.562665
14,3.459621,1.934613,3.10926
15,2.535369,1.792702,2.495077
16,2.426271,1.866998,2.4063
17,2.503962,1.915918,2.503148
18,2.508119,1.904274,2.536399
19,2.587058,1.743234,2.495846
20,2.579917,1.848006,2.547324
21,2.576618,1.885716,2.611218
22,2.760971,1.835673,2.622101
23,2.665331,1.829968,2.467765
24,2.54985,1.811855,2.509287
25,2.713875,1.835413,2.528371
26,2.494151,1.85133,2.421755
27,2.587467,2.114658,2.507165
28,2.589148,1.975984,2.519429
29,2.450464,1.776417,2.485425
30,2.578112,2.130355,2.862319
31,2.716233,1.902635,2.59165
32,2.409785,2.020868,2.527949
33,2.557045,2.287036,2.508617
34,2.552713,2.628846,2.512289
35,2.544659,1.849672,2.515109
36,2.537031,1.965274,2.476082
37,2.554706,1.901587,2.519143
38,2.479126,1.92103,2.499378
39,2.568386,2.558512,2.492629
40,2.615091,1.823579,2.529997
41,2.42024,1.934557,2.593748
42,2.506034,1.788409,2.556139
43,2.542709,2.374245,2.498112
44,2.511269,1.944273,2.620696
45,2.625725,1.827708,2.461808
46,2.469196,1.925391,2.594371
47,2.451611,1.91407,2.648897
48,2.43619,1.921545,2.811007
49,2.618372,1.931352,2.586551
50,2.511872,2.159288,2.547478
51,2.435942,2.376979,2.553957
52,2.486986,1.917024,2.592053
53,2.616319,2.750229,2.663567
54,2.483512,2.212614,2.673229
55,2.565041,1.962729,2.713795
56,2.558454,1.869103,2.562015
57,2.477828,1.863031,2.581292
58,2.42548,1.920728,2.615167
59,2.465343,2.788446,3.53355
60,2.533829,1.836739,2.523898
61,2.483576,1.896257,2.667608
62,2.570465,1.809018,2.615119
63,2.468462,1.787391,2.495165
64,2.53142,2.087383,2.583748
65,2.611657,1.939833,2.662371
66,2.678077,2.481906,2.775849
67,2.677296,2.847914,3.114413
68,2.601479,2.02774,2.469719
69,2.576519,1.837814,2.627527
70,2.515653,2.076402,2.581669
71,2.521188,1.996941,2.801865
72,2.570999,1.977555,3.118958
73,2.440486,1.934696,2.56021
74,2.47101,1.893722,2.482431
75,2.522402,2.061188,2.441582
76,2.526643,1.821976,2.511779
77,2.600999,1.81096,2.567856
78,2.52572,1.846114,2.556021
79,2.462765,2.1379,2.581633
80,2.543106,2.082008,2.57993
81,2.574251,3.026082,2.894626
82,2.567656,1.918552,3.157375
83,2.452163,1.993074,2.577957
84,2.648407,1.835476,2.671214
85,2.502423,1.870861,2.640638
86,2.565744,1.826423,2.505726
87,2.567527,2.227827,2.3808
88,2.58615,1.769305,2.466509
89,2.491309,2.164228,2.817988
90,2.543368,2.18291,2.509888
91,2.473393,1.977377,2.722022
92,2.382417,1.907157,2.568352
93,2.543776,1.993065,2.624466
94,2.60248,2.21713,2.684062
95,2.493652,2.111661,2.593845
96,2.441443,2.03513,2.832689
97,2.93501,2.246291,2.603144
98,2.568977,2.022218,2.655554
99,2.621236,2.111125,2.564367
