,pull,train,push
0,3.984317,2.228007,3.421411
1,3.554709,2.036531,2.841129
2,2.96905,2.002052,3.139721
3,3.110057,2.446534,2.629402
4,2.598865,2.017055,3.420775
5,3.151964,2.769911,3.240224
6,2.947643,2.07779,2.847442
7,2.739556,2.090708,3.150463
8,2.921705,1.824941,3.448583
9,2.724038,2.513904,3.169978
10,2.691959,2.773164,2.69739
11,2.991074,2.732188,3.462767
12,2.642868,2.157131,2.805544
13,2.708945,2.058141,2.610783
14,2.634501,3.258735,2.869759
15,2.711256,1.914839,2.700424
16,2.660326,2.008994,2.803671
17,2.668229,1.923782,2.746165
18,2.586172,2.138826,3.293231
19,2.757888,2.067587,3.09302
20,2.781793,2.019503,2.732531
21,2.598197,2.316949,2.617423
22,2.692898,1.893001,2.724772
23,2.818212,1.83238,3.001044
24,2.612465,1.900382,3.117453
25,2.850026,2.106357,2.74703
26,2.677574,1.813104,2.745553
27,2.776706,2.502782,2.81834
28,3.092324,2.068787,2.784065
29,2.658927,1.845981,2.763239
30,3.192532,1.99932,2.880752
31,2.751981,2.418998,2.646921
32,2.664917,1.976656,2.768085
33,2.777337,1.997663,2.651651
34,2.594995,2.000301,2.706526
35,2.720758,1.846178,2.739491
36,2.925732,2.003179,2.723503
37,2.592911,1.93803,2.84518
38,2.685952,1.814957,2.7224
39,2.722643,1.831191,2.616386
40,2.762958,2.209891,2.749255
41,2.623451,1.9737,2.665868
42,2.563751,1.935507,2.819481
43,2.619889,2.108295,2.719271
44,2.589793,1.869506,2.695932
45,3.139112,1.939644,2.723592
46,2.633124,2.11182,2.617424
47,2.931015,2.399873,4.018127
48,2.592371,1.84016,2.632634
49,2.655042,1.980005,2.647707
50,2.73473,1.84608,3.202565
51,2.870924,2.103366,2.598114
52,2.708451,2.126003,2.666004
53,2.670538,1.929765,2.64819
54,2.617895,1.960698,2.69931
55,2.738333,2.177278,2.658699
56,2.60425,1.920793,2.694982
57,2.729742,1.85608,2.78193
58,2.817567,1.929708,2.707906
59,2.737522,1.897353,2.70336
60,2.735404,1.795663,2.619907
61,2.552795,1.790163,3.062723
62,2.869219,1.819647,2.684927
63,2.511306,2.090477,2.642561
64,2.658569,1.765092,2.68684
65,2.680377,1.960508,2.582708
66,2.475437,2.602582,3.481462
67,2.627486,1.893075,2.557162
68,2.877888,1.89218,2.637005
69,2.452464,2.168835,2.587072
70,3.318879,1.800287,2.695062
71,2.595826,1.943794,2.72644
72,2.65373,1.903427,2.659202
73,2.623983,1.857893,2.594403
74,2.984494,1.799539,2.837056
75,2.761032,2.20204,2.740194
76,2.613762,1.743936,3.007533
77,2.558744,1.991136,2.665069
78,2.740182,1.945557,2.801249
79,2.854983,1.83117,2.797578
80,2.64614,1.909586,2.707017
81,2.654742,2.058498,2.764668
82,2.593088,2.126935,3.252772
83,2.781193,2.105817,2.807132
84,2.75925,2.141217,5.292138
85,3.007484,2.376827,2.926117
86,2.594329,1.962483,2.960758
87,2.993393,3.298711,2.719085
88,2.587553,2.041324,2.621991
89,2.612687,1.847728,2.599939
90,3.603673,2.05957,2.707089
91,2.546946,1.858302,2.973288
92,2.736427,2.110315,2.721019
93,2.543275,2.001993,2.71635
94,2.529471,1.810897,2.641046
95,3.078598,1.831341,2.633984
96,2.735774,2.058722,2.951027
97,2.503573,2.227151,2.868004
98,2.612457,1.810592,2.723601
99,2.581301,1.846094,2.697129
