,pull,train,push
0,3.908538,17.353929,4.430354
1,4.453081,17.243598,4.500674
2,5.124973,17.007581,4.798761
3,3.697655,16.815617,3.977268
4,5.169232,16.482817,5.221133
5,3.77991,16.511785,4.351249
6,4.96197,17.222741,4.549239
7,4.314487,17.131581,4.46687
8,5.269784,17.417712,4.77534
9,3.740403,17.092259,4.388755
10,4.959808,16.923588,5.082009
11,4.375941,17.016053,4.301482
12,5.203274,17.451271,4.044522
13,3.725572,16.659848,4.337954
14,5.082387,17.208852,4.885876
15,3.864558,16.953614,4.738064
16,5.391536,16.772811,4.629041
17,4.541478,16.870709,4.871774
18,5.006888,17.359556,4.636472
19,4.280019,17.327935,3.874525
20,3.870118,17.09085,4.570927
21,3.698139,16.823574,4.560325
22,5.227532,17.069305,4.602021
23,4.042771,16.463352,4.550928
24,4.997084,17.127301,4.4872
25,3.930913,16.894124,4.343462
26,5.136689,17.415102,3.780369
27,4.290015,17.133258,4.045984
28,6.093892,17.360614,5.141868
29,4.141225,16.646238,4.372244
30,3.686554,16.731119,4.518819
31,3.946941,17.444155,3.903824
32,5.214555,16.834002,5.538693
33,4.511525,16.698143,4.5847
34,5.357319,16.779392,4.546027
35,4.348073,17.484979,4.877656
36,5.647483,17.214519,5.213462
37,4.441311,17.202278,4.346187
38,4.753443,17.484518,4.728171
39,4.178743,17.142881,4.334529
40,4.576802,16.706851,4.776952
41,4.08556,16.870636,4.223269
42,5.263679,16.099644,4.43323
43,4.071517,17.355433,4.817369
44,5.329335,17.037471,4.872764
45,3.993246,16.57394,4.341861
46,4.887327,17.135772,4.019457
47,4.051817,16.748698,4.501101
48,5.116489,17.047699,4.562959
49,3.847322,17.144819,3.995371
,4.55177826,17.01169048,4.52906182
