,pull,train,push
0,5.592883,17.229268,5.671319
1,6.185862,17.691017,6.750211
2,6.187795,17.305922,5.128484
3,6.473802,17.340344,7.168065
4,6.196936,16.988789,5.653935
5,5.071217,17.476986,7.452805
6,6.717413,17.137237,5.456858
7,5.989237,17.51991,6.964114
8,6.02176,17.205151,6.685066
9,6.113757,17.43153,6.667255
10,6.246002,17.201886,6.005394
11,6.741924,16.812178,6.662799
12,6.123818,17.340781,5.361949
13,5.972704,16.979854,6.691378
14,6.101469,17.12105,5.559945
15,6.187094,16.65502,7.064889
16,5.654901,17.124419,5.857799
17,5.999481,17.263963,6.000872
18,5.98323,16.985691,5.847368
19,5.995976,16.672064,6.523092
20,5.858224,16.879495,5.991503
21,5.963156,17.216062,7.3159
22,5.787346,16.79793,6.021221
23,7.351064,16.723183,7.053196
24,5.860831,17.217354,5.726278
25,6.054503,16.868359,7.04767
26,5.885791,17.441501,6.086248
27,6.190726,16.994349,6.904133
28,6.299891,17.01644,5.713026
29,5.962852,17.236194,6.757744
30,5.879276,16.815691,6.279788
31,5.995407,17.020668,6.909148
32,6.401233,16.678727,5.629503
33,6.289777,17.454503,6.378303
34,5.737147,17.082406,5.691452
35,6.36648,17.409389,6.894229
36,6.22818,17.442387,5.759455
37,5.8943,17.137292,6.942982
38,6.121967,16.790884,6.008118
39,4.769374,16.967592,6.519783
40,5.7497,17.316977,5.913098
41,5.930076,17.063095,6.784805
42,6.207142,17.081507,6.291343
43,5.313331,16.754841,6.994849
44,5.921036,17.331416,5.327872
45,4.778428,16.878408,6.583573
46,5.954463,16.787928,5.735475
47,5.81548,16.787192,6.941857
48,6.216279,17.274472,5.444033
49,6.023099,17.378122,5.871462
50,6.352543,17.036084,5.840302
51,5.592285,16.853784,6.75627
52,6.012942,16.921866,5.705821
53,6.037937,16.740117,7.005372
54,6.138771,17.196787,5.608625
55,5.23032,16.894212,6.675099
56,6.433425,17.151025,6.259449
57,4.720621,17.152882,6.878205
58,5.831212,17.322112,5.522131
59,6.658456,16.762789,6.753073
60,6.268289,17.445606,5.387631
61,6.185545,16.870887,6.376394
62,6.028389,16.976345,5.495922
63,6.910146,16.912311,6.867924
64,6.298198,17.073339,5.565086
65,6.166513,16.837237,6.620804
66,6.23589,17.091049,6.313448
67,5.153772,16.955013,6.842324
68,6.050175,16.801334,5.886832
69,5.616825,17.224998,6.843658
70,5.718481,16.896913,6.46531
71,6.474061,18.199096,6.273244
72,6.197585,17.617317,6.498823
73,6.408901,17.949307,7.945425
74,6.03583,17.267611,6.235975
75,6.518536,17.100042,6.310141
76,4.750378,16.904145,5.831123
77,5.836377,16.660159,5.096793
78,6.11075,16.823979,6.084925
79,6.345567,16.810963,4.760824
80,4.864492,16.692138,6.360911
81,5.691791,16.624358,5.796725
82,4.651876,16.715105,6.683964
83,5.727113,16.492446,5.172736
84,4.744521,17.180669,6.513202
85,5.783,17.004606,5.658046
86,4.596298,16.897942,5.977025
87,5.666874,17.117023,5.746703
88,4.833011,17.291721,5.973004
89,5.93483,16.947566,5.476745
90,4.905808,16.988148,5.731311
91,5.600361,16.646676,5.716932
92,4.616604,17.179314,5.986946
93,6.043695,16.904568,5.329668
94,4.729999,17.266699,6.666792
95,5.781874,16.92482,6.036206
96,4.840772,17.29309,6.65279
97,6.063127,16.858968,5.625153
98,4.771043,16.925997,6.629551
99,6.135556,16.89775,5.492641
,5.86665185,17.06626337,6.20625648
