,pull,train,push
0,3.8858,17.307633,4.909198
1,3.719955,17.040607,5.055344
2,3.818217,16.860194,5.009627
3,3.806019,16.444738,5.334851
4,3.901655,16.939199,4.919218
5,3.869974,16.603448,4.842806
6,3.856584,17.11792,4.517615
7,3.779211,16.8719,4.622222
8,4.13489,16.570438,5.233516
9,3.873918,16.82517,5.410351
10,4.469726,16.713771,4.556215
11,3.716879,17.140429,5.331733
12,4.519741,17.740452,5.911624
13,4.769805,17.503719,5.169443
14,5.794268,17.599599,4.971388
15,5.08995,16.795059,5.962307
16,4.093506,16.795616,5.360181
17,4.318852,16.987749,5.317629
18,4.200224,17.122525,4.873937
19,4.572496,16.938968,6.837331
20,5.595927,16.889777,6.464347
21,6.210247,17.573585,5.193835
22,4.363395,16.9064,5.106421
23,3.895454,17.06606,5.439051
24,3.953809,17.067908,5.722682
25,4.882956,16.625384,6.11374
26,4.172418,16.685119,4.804007
27,4.103106,16.795209,5.522807
28,4.061948,16.71515,4.748972
29,4.263669,16.948209,5.640632
30,5.131472,17.028311,5.441684
31,4.469021,17.04578,5.470251
32,3.965639,17.081678,4.907985
33,4.089175,16.274816,5.714866
34,4.024348,16.893984,5.485108
35,4.447101,16.984768,4.797017
36,4.074151,16.678637,4.797217
37,4.457759,16.886174,6.025903
38,4.011208,16.905663,5.162482
39,4.855425,16.67108,5.90895
40,4.78887,17.013588,5.155714
41,3.86842,16.92634,5.493158
42,3.991325,16.70193,4.505529
43,4.512043,16.546149,5.236469
44,4.028772,17.002972,5.707877
45,4.579149,17.238751,4.509763
46,4.012199,16.477651,5.078555
47,4.68744,16.812442,4.719344
48,4.604464,17.020179,4.640478
49,4.787752,16.848881,4.803916
50,6.714649,17.502456,5.936062
51,6.187641,17.205033,6.856295
52,5.767594,16.798541,6.890576
53,6.39788,17.293963,6.783634
54,6.145234,17.692227,5.715097
55,4.839411,17.582248,6.435557
56,5.945972,16.954751,5.579876
57,6.839743,16.861331,6.657969
58,6.264001,17.136869,5.715681
59,6.105997,17.289101,6.562726
60,6.46001,17.400279,5.687746
61,6.185323,17.314257,6.649593
62,5.967814,17.442234,5.853229
63,6.213318,17.03057,7.419662
64,6.197446,17.176939,6.224126
65,5.664078,17.202655,6.721899
66,5.980372,16.762296,6.42641
67,6.268302,16.920021,6.95372
68,6.488382,17.820893,6.02255
69,5.279166,17.448451,6.759388
70,6.180658,17.321717,5.980383
71,6.22391,17.58682,6.8022
72,6.213606,17.539843,5.704685
73,6.493719,17.651456,6.752473
74,5.976047,17.528433,6.084803
75,5.100935,17.609054,6.919735
76,6.191883,17.41307,4.875963
77,6.453254,17.355246,5.8478
78,6.038744,17.188756,5.590777
79,6.208129,16.685595,7.089835
80,5.991098,16.845871,5.561138
81,6.108299,17.147404,6.875545
82,5.840781,16.805117,5.749446
83,6.272025,17.25908,6.749916
84,5.94088,17.222978,5.378779
85,6.360815,16.690163,6.885503
86,6.1534,17.01,5.724441
87,6.134919,17.142134,6.762371
88,6.297584,17.435352,6.131491
89,5.99386,17.129708,7.252768
90,5.930661,17.21182,5.836589
91,6.012007,17.162902,7.215308
92,5.950396,17.045152,5.163506
93,6.22403,17.230738,6.676346
94,6.35512,17.092846,5.97788
95,4.848955,17.217533,6.64727
96,5.892347,17.086284,5.904962
97,5.70441,17.291541,7.038922
98,6.174062,17.118786,5.452639
99,6.055104,16.752505,6.555262
,5.20314303,17.06844728,5.77505828
