,pull,train,push
0,6.196762,15.70425,8.91457
1,6.807369,16.382678,8.052361
2,6.511059,17.010101,7.374273
3,6.298624,16.663215,7.372311
4,6.244587,16.85067,7.311059
5,6.296193,17.269657,7.561148
6,6.329457,16.656362,7.335755
7,6.105942,16.765718,7.186091
8,6.4489,16.774909,8.250329
9,6.315927,15.825583,7.475777
10,6.330688,16.239146,7.648101
11,6.237116,16.41424,7.329362
12,6.203589,16.629866,8.262811
13,6.286378,16.580077,7.398271
14,6.216746,16.837513,7.320654
15,6.430298,16.632806,7.431862
16,6.47511,16.890156,7.253333
17,6.266787,16.484303,7.655547
18,6.524726,16.355593,7.577329
19,6.312675,16.498193,7.538679
20,6.371113,16.237775,7.734758
21,6.277132,16.470602,7.435713
22,6.257682,16.866576,7.566391
23,6.307857,16.760886,7.777456
24,6.256139,16.152212,7.523905
25,6.370051,16.91598,7.619893
26,6.328907,16.556419,7.364062
27,6.308389,16.436306,8.031319
28,6.30781,16.396953,7.674435
29,6.625382,16.740139,8.097336
30,6.368499,16.981809,7.992396
31,6.225885,16.889341,9.804901
32,6.53822,17.136377,9.655977
33,6.536416,16.353217,8.161213
34,6.3484,16.700826,8.632172
35,6.337749,17.021432,7.844273
36,6.297402,16.916985,8.231496
37,6.394294,16.795296,8.334041
38,6.292736,16.591391,7.330461
39,6.509628,16.450517,7.445098
40,6.267448,16.482464,7.732979
41,6.191652,16.344554,7.291272
42,6.208754,16.776525,7.746028
43,6.165911,16.934362,7.683564
44,6.322172,16.535713,7.541744
45,6.337574,85.515328,7.444935
46,6.510854,16.985802,7.445536
47,6.218912,16.65044,7.629385
48,6.219888,16.545164,7.25825
49,6.172597,16.573802,8.116834
50,6.575977,16.901398,7.398289
51,6.355745,16.724779,7.504397
52,6.219757,16.663431,7.529246
53,6.219076,16.083907,7.46903
54,6.147539,16.443221,7.644143
55,6.302634,16.494254,7.348494
56,6.161869,16.769005,7.800674
57,6.353395,17.176619,8.060925
58,6.352437,17.328507,8.00686
59,6.205286,16.216786,8.67617
60,6.359594,16.621505,7.494432
61,6.328585,16.536623,8.461005
62,6.486728,16.098807,7.878857
63,6.232813,16.548752,7.376474
64,6.17816,16.319687,7.673859
65,6.634217,16.974348,7.770367
66,6.451656,16.702692,7.810629
67,6.545801,16.009602,7.711883
68,6.522753,16.682688,7.432587
69,6.34012,16.976761,7.83599
70,6.310283,16.681979,7.350939
71,6.19687,16.574908,7.573978
72,6.308138,16.837743,7.499003
73,6.30246,16.985434,7.391439
74,6.467486,16.364001,7.683898
75,6.401805,16.611371,7.740386
76,6.239443,16.890574,7.690601
77,6.228613,16.676038,7.299949
78,6.28084,16.57336,7.833748
79,6.21558,16.412161,7.559401
80,6.347289,16.813643,8.935089
81,6.24302,16.437531,7.588639
82,6.393723,16.644206,7.68288
83,6.283307,16.815937,7.327976
84,6.47806,16.607579,7.414628
85,6.271521,16.784566,7.302287
86,6.219663,16.8942,7.256306
87,6.264247,16.602502,7.371215
88,6.275514,16.797461,7.313929
89,6.251397,16.676832,7.586473
90,6.407876,16.734661,7.30195
91,6.130444,16.763347,7.452457
92,6.258401,16.418944,7.71335
93,6.190829,16.963993,7.428937
94,6.447693,16.612343,7.727822
95,6.584642,16.766451,7.32276
96,6.333631,17.10748,7.606171
97,6.326519,16.759686,7.304704
98,6.478449,16.952039,7.315665
99,6.224018,16.783379,7.856506
,6.33050289,17.3399795,7.69714843
