,pull,train,push
0,6.925104,17.534722,10.057939
1,6.180688,17.423224,10.443942
2,6.175676,17.528628,9.213355
3,7.100373,17.419414,8.712468
4,6.235184,17.122808,9.174189
5,6.013323,17.456087,9.592427
6,6.808176,17.300885,7.949985
7,6.777232,17.066389,8.900421
8,6.078854,17.355225,9.94366
9,7.255867,16.97061,10.193753
10,6.14431,17.360044,7.881581
11,6.869973,17.380099,9.710103
12,6.188472,17.593492,9.958911
13,6.88881,17.438674,9.89414
14,7.591932,17.421822,8.042337
15,7.284564,17.558001,8.61969
16,6.967951,17.426771,9.724255
17,7.286621,17.26702,10.213634
18,7.712355,17.288716,7.412458
19,6.46274,17.460198,9.159696
20,6.785132,17.150831,8.533547
21,6.601653,17.443482,9.663349
22,7.20991,17.258782,8.716108
23,7.702833,17.281543,9.561161
24,7.156975,17.38374,8.916239
25,6.851677,17.210704,9.853825
26,7.994357,17.569926,8.347363
27,7.888681,17.309151,8.879908
28,5.81393,17.548872,8.576919
29,6.889859,17.149732,9.491841
30,6.334274,17.168565,8.508764
31,6.16369,17.353226,9.515153
32,6.036822,17.491043,10.49911
33,6.459133,17.288504,9.742963
34,6.431622,17.412486,8.325764
35,6.717704,17.381024,9.933824
36,5.95259,17.010455,8.736291
37,8.16254,16.75708,10.654315
38,8.024943,17.261215,8.126337
39,6.373835,17.026692,9.35752
40,6.004903,17.386572,8.3323
41,6.133511,17.265446,9.466005
42,8.284983,16.919887,8.963452
43,6.766974,17.31031,9.530305
44,7.478035,16.869283,8.96251
45,6.41378,17.303933,9.574951
46,6.34285,17.344129,8.125432
47,7.537302,17.281847,9.613638
48,8.192429,17.518934,9.157064
49,6.54084,17.21424,10.433345
50,6.646647,17.363517,8.325982
51,8.279291,17.265229,9.87947
52,6.305954,17.048172,8.428384
53,6.579189,17.111033,9.934927
54,6.621435,17.242709,9.496603
55,7.188797,17.354168,8.900894
56,6.213636,17.391714,8.290981
57,6.099534,17.558617,9.860449
58,8.467504,17.161441,8.588519
59,6.330433,17.140895,8.810781
60,6.569796,17.258308,8.703705
61,6.510972,17.611096,10.575504
62,6.362052,17.430706,7.81258
63,6.844437,17.293936,8.778627
64,6.4006,17.215081,8.973545
65,6.314748,17.426381,9.321214
66,6.993046,17.185593,8.539527
67,6.388455,17.188723,9.151181
68,6.096716,17.219059,10.61843
69,6.637176,17.27137,10.097322
70,6.837739,17.337601,7.623647
71,8.33852,17.303732,9.337281
72,6.304724,17.568033,8.89954
73,6.669164,17.180599,10.58187
74,6.367189,17.163413,7.757711
75,6.380832,17.199413,11.50127
76,7.434085,17.06786,8.998422
77,7.199559,17.246645,9.804639
78,6.391241,17.171569,8.151802
79,6.346894,17.711539,9.445316
80,6.280793,17.290092,8.553864
81,6.588263,17.267928,9.695002
82,7.25272,17.322946,9.057458
83,6.369622,17.168758,9.119892
84,6.948827,20.321936,10.436367
85,6.564974,17.742813,9.602173
86,6.907871,17.106741,9.847783
87,7.095331,17.2696,8.006321
88,6.928517,16.990763,9.178688
89,5.560347,17.139077,9.442251
90,5.883493,17.17677,9.512462
91,6.237125,17.320578,7.77351
92,6.843288,17.27553,8.770277
93,5.907383,17.657982,8.68992
94,5.797451,17.265502,9.253592
95,6.330557,17.434036,7.927872
96,5.959662,17.296459,9.360437
97,7.723296,17.554425,9.257778
98,5.694745,17.185501,9.638824
99,6.086582,17.267774,8.162823
,6.73277184,17.32987826,9.17375664
