,pull,train,push
0,5.479458,17.064267,5.789647
1,4.395061,16.752721,5.621735
2,4.698659,16.85013,6.224995
3,4.83086,17.279876,4.853941
4,4.443595,16.831306,5.829431
5,5.16286,17.422063,5.792046
6,4.362099,17.118273,5.722604
7,4.699263,17.216374,5.250499
8,4.278411,17.184082,5.826158
9,4.374449,16.935312,4.901988
10,5.690977,17.35268,6.04963
11,5.491841,16.947252,5.369774
12,4.434599,17.018881,6.18885
13,4.928983,17.028638,4.76216
14,4.300219,16.376911,6.328433
15,5.03427,17.055496,4.784725
16,4.235675,17.060342,5.806001
17,4.270333,16.924557,4.872962
18,4.267302,17.043089,6.439611
19,4.474794,16.745174,4.881048
20,4.553499,17.481742,5.612634
21,4.218636,17.044253,4.698282
22,4.304386,16.753096,5.727379
23,4.166445,16.47715,4.793475
24,4.277824,17.003238,6.056621
25,4.432979,17.039826,4.654033
26,4.297772,16.727494,5.78427
27,4.535117,16.697721,4.912098
28,4.683523,17.404481,6.078296
29,4.404435,17.189985,5.365857
30,4.526433,17.360646,6.26236
31,4.376976,17.231709,5.095258
32,4.657323,17.333939,6.169805
33,4.693463,16.499745,4.830634
34,4.753626,16.429104,6.390463
35,4.600732,16.806301,6.489516
36,4.934026,16.928436,6.408025
37,4.818215,16.994293,5.020231
38,5.074896,16.917748,6.487199
39,4.611329,16.982419,5.677333
40,5.104877,17.111125,6.327093
41,4.774656,17.145151,5.731995
42,4.646914,17.043336,6.334079
43,4.581238,17.110509,4.787141
44,4.450917,17.074274,6.007525
45,4.618432,17.064068,5.444754
46,4.689145,17.026682,6.332255
47,4.822707,17.08139,5.441118
48,4.541882,16.929661,6.510593
49,4.565898,16.903826,5.483994
50,4.483352,16.908333,5.909149
51,4.48987,17.097887,5.552841
52,4.508895,16.819397,5.875429
53,5.53616,17.887566,4.803481
54,4.716871,17.067573,5.807403
55,5.40216,17.844841,4.847996
56,4.995406,18.045704,6.407332
57,4.931121,18.356243,4.80824
58,4.919967,19.171124,6.436096
59,7.053915,18.815613,127.331194
60,4.892815,16.937402,6.341065
61,4.304355,17.345364,5.901119
62,4.776155,17.292569,7.059769
63,4.415887,16.865742,5.754535
64,4.505104,16.73602,6.046875
65,4.791305,16.834526,5.022021
66,4.30235,16.739158,6.72861
67,4.382668,17.253552,5.483233
68,4.766223,16.46074,6.537511
69,4.589816,17.186549,4.951322
70,4.832045,16.809653,6.497414
71,4.33733,17.310035,5.463054
72,4.320803,17.062056,6.122033
73,4.507502,16.397127,5.198521
74,4.82648,16.366535,7.36019
75,4.383484,17.050657,5.373212
76,4.300176,16.664548,6.270784
77,4.316525,16.640252,5.67747
78,4.684487,17.452171,5.933075
79,4.254975,17.069655,5.231082
80,4.686154,16.70266,6.261931
81,4.230737,16.657907,5.268396
82,4.505499,17.079556,5.99109
83,4.470921,16.974804,5.599757
84,4.513816,16.904064,5.803709
85,4.485501,17.082692,5.493949
86,4.593746,17.093939,6.951479
87,4.352275,16.977064,5.207894
88,4.413677,17.062366,5.963027
89,4.466867,16.661525,5.851824
90,4.477202,16.982899,6.230349
91,4.641568,16.134044,4.987777
92,4.469441,16.880322,6.562827
93,4.841374,16.737647,5.543883
94,4.409595,16.179596,6.352105
95,4.483969,16.600685,5.64066
96,5.365668,16.476034,6.737334
97,4.594051,16.903249,5.863405
98,4.548613,17.103335,6.385758
99,4.449281,16.867841,5.552213
,4.64100166,17.02551593,6.97191977
