,pull,train,push
0,3.74082,17.133197,5.003229
1,3.317914,16.402443,3.697
2,3.412483,15.987808,4.527185
3,3.597161,16.624192,4.365678
4,3.212923,15.952667,4.748904
5,3.375106,16.307494,4.137288
6,3.204084,16.903655,4.412655
7,3.379235,16.300142,4.190257
8,3.314011,16.808933,4.448109
9,3.350834,16.321829,4.314583
10,3.281356,16.971378,4.561712
11,3.242345,16.92016,3.750296
12,3.414477,16.859511,4.329444
13,3.949106,16.72477,4.243719
14,3.398976,16.912393,4.419846
15,3.334388,16.642789,3.826234
16,3.428278,16.705361,4.407001
17,3.303746,16.899837,4.547844
18,3.387912,16.899638,4.39308
19,3.276413,16.699124,4.311113
20,3.394834,16.902914,4.353031
21,3.323019,16.669654,3.760997
22,3.440031,16.529501,4.59705
23,3.400967,16.209675,5.042844
24,3.348718,16.442719,4.538216
25,3.285146,16.848503,3.807469
26,3.4493,16.919561,4.406174
27,3.794742,17.689282,3.902532
28,3.444908,16.602476,4.414938
29,3.378413,16.688648,3.703362
30,3.360831,16.65546,4.510735
31,3.366952,17.165285,4.251384
32,3.31274,16.504495,4.564181
33,3.433454,16.760639,3.761072
34,3.438376,16.227118,4.497088
35,3.463142,16.487933,4.16984
36,3.429497,16.458467,4.186487
37,3.487082,16.651715,3.806289
38,3.442938,16.712907,4.496188
39,3.921521,17.687888,4.274541
40,3.811819,17.405783,5.333913
41,3.833477,17.021749,4.699345
42,3.811976,16.153873,5.382193
43,3.930551,17.536674,5.137093
44,3.997998,17.308827,5.169245
45,4.09631,16.772074,5.437414
46,3.82589,16.873521,4.510435
47,3.745435,16.694377,4.570218
48,3.480828,16.678215,4.583891
49,3.4674,16.747005,3.839865
,3.49679726,16.73968518,4.40686414
