,pull,train,push
0,3.453744,2.155551,3.87029
1,3.326674,2.290686,4.488765
2,3.165918,2.27901,3.39737
3,3.253846,2.033439,3.641983
4,3.061634,1.970492,4.591767
5,3.043866,1.860057,3.341072
6,3.247596,2.13085,3.410339
7,3.254497,1.918028,3.189739
8,3.01401,2.460021,3.671779
9,3.18246,2.049032,3.433174
10,3.097787,1.852229,3.357467
11,3.040175,1.928543,3.929961
12,3.179124,1.843857,3.230674
13,3.088371,2.578381,3.533634
14,3.245514,2.001273,3.264251
15,3.247423,1.987919,3.450687
16,3.15731,1.833916,3.635445
17,3.119614,2.202945,3.249954
18,3.176457,1.925923,3.441721
19,3.157836,2.120966,3.679533
20,3.146499,2.447339,3.391905
21,3.045625,2.011283,3.246947
22,3.128351,2.267096,3.204974
23,3.134606,2.309326,3.265388
24,3.241965,2.35649,3.194185
25,3.119544,2.016893,3.155655
26,3.207278,2.116018,3.818125
27,3.061502,2.405549,3.300456
28,3.060012,2.814222,3.796099
29,3.145372,2.114265,3.643967
30,3.159882,2.474263,3.314017
31,3.135814,2.24695,3.317332
32,3.1606,2.584921,3.353769
33,3.188747,2.22641,3.855355
34,3.229249,1.966965,3.235862
35,3.123458,2.91323,3.213896
36,3.079291,1.898342,3.513776
37,3.255104,1.946891,3.634755
38,3.080546,1.94436,3.721729
39,3.112546,1.87235,3.137351
40,3.043951,1.974892,3.22459
41,3.032774,2.943308,3.181487
42,3.019247,1.898101,3.323447
43,3.144616,1.917291,3.10492
44,3.114802,2.327628,3.137268
45,3.058939,2.110088,3.367007
46,3.081974,1.976206,3.040065
47,3.075823,2.073402,3.551011
48,3.111998,1.943173,3.194091
49,3.079351,2.072336,3.1973
,3.14186644,2.15185412,3.44892668
