,pull,train,push
0,3.909435,1.931178,4.515947
1,3.879473,2.236437,5.172353
2,4.024126,2.071957,5.887642
3,4.055743,1.957544,4.54075
4,3.870419,1.944128,4.270936
5,3.914914,2.291454,4.308349
6,3.858829,1.965974,4.28902
7,3.879462,2.186075,4.171464
8,3.932675,2.262457,4.023807
9,4.152911,2.738041,4.088528
10,4.027695,1.872508,4.350627
11,3.860199,1.811328,4.159138
12,3.980944,2.403307,4.397571
13,3.893313,2.015265,4.462798
14,3.901261,1.951967,4.286006
15,3.955256,2.324966,4.218661
16,3.789248,1.864265,4.009732
17,3.912921,2.046743,4.001342
18,3.758777,1.859747,4.096458
19,3.956575,2.732899,4.196805
20,3.791751,1.927077,4.389192
21,3.792711,1.96376,4.591972
22,3.910209,1.937008,4.816693
23,3.975569,2.027859,4.208084
24,3.954967,1.897402,4.178239
25,4.079127,2.214888,4.303887
26,3.909014,1.958043,4.468977
27,3.865453,1.974483,4.392533
28,3.884463,2.043467,4.309111
29,3.885549,1.985956,4.081673
30,4.097796,1.990689,4.720505
31,3.866555,1.870629,4.343881
32,3.789025,2.11311,4.835593
33,3.937221,2.003592,4.32335
34,3.784907,2.117739,4.654529
35,3.935989,1.874884,4.269947
36,3.95384,2.050362,4.495184
37,3.980271,2.126538,4.204384
38,3.9112,2.083111,4.438523
39,3.882901,2.174693,4.22237
40,3.969396,1.889502,4.418019
41,3.900491,1.911924,4.179885
42,4.005947,1.929219,4.751445
43,3.913234,2.191056,4.465778
44,3.879282,1.892144,4.872808
45,4.036328,2.354107,4.511232
46,3.872025,1.880121,4.170244
47,3.994497,1.865724,4.125959
48,3.794163,1.915501,4.18165
49,3.987061,2.028094,4.550723
50,4.067358,2.498462,4.522993
51,3.879905,2.039131,4.405806
52,3.875559,1.886806,4.915183
53,3.964936,1.838925,4.384831
54,3.97294,2.078239,4.499539
55,3.922037,2.589529,4.518046
56,3.914368,2.352252,4.442747
57,4.026083,1.98268,4.896686
58,3.826495,1.913287,4.76652
59,4.027823,2.030338,4.505248
60,4.061972,2.005443,5.029939
61,3.965907,1.930895,4.233917
62,3.960651,2.212618,5.622085
63,4.026783,2.455342,4.404474
64,3.984175,1.934478,4.417805
65,3.856251,2.245678,4.232442
66,3.961394,2.020198,4.308089
67,3.913993,2.001704,4.170114
68,3.889093,1.932356,4.385835
69,3.862097,2.035303,4.264992
70,3.994788,1.890706,4.743568
71,3.991354,2.084086,4.446561
72,3.888695,2.29322,4.434308
73,3.987574,2.186474,4.463714
74,3.745559,2.149414,4.292783
75,4.136627,2.106111,4.395826
76,4.013051,2.003977,4.438661
77,3.943035,2.129621,4.365253
78,3.779165,1.85193,5.023911
79,3.919462,1.958983,4.245968
80,3.971152,2.033298,4.90591
81,3.97545,2.013088,4.887126
82,3.956105,2.114786,4.258998
83,3.985934,2.008724,4.285405
84,4.074367,2.135832,4.18134
85,3.996495,2.135349,4.168973
86,4.001869,1.938384,4.233856
87,3.981517,2.12893,4.223987
88,3.95405,2.161652,4.328095
89,3.922503,1.957768,4.170994
90,3.942966,1.960323,4.81503
91,4.403223,3.246549,4.426884
92,3.98856,1.809256,4.178652
93,3.975834,2.101653,4.754143
94,3.925288,2.032137,4.424693
95,4.009668,1.822778,4.518045
96,3.946187,2.253883,4.488436
97,4.030055,2.31218,5.480052
98,3.93648,2.099146,5.134498
99,3.940076,1.893621,4.152362
