,pull,train,push
0,3.979153,2.314063,8.44092
1,3.93286,1.859482,4.367988
2,3.851148,1.948691,4.262819
3,3.917907,2.275662,4.344823
4,4.120085,2.321267,4.545333
5,4.189112,2.529126,4.456701
6,3.900116,2.492706,5.096349
7,4.011999,2.140593,6.126119
8,3.777623,2.228579,6.311578
9,3.946479,1.968616,4.516824
10,4.065863,2.224023,5.638621
11,4.050896,2.052508,6.5079
12,3.994296,1.9436,6.678678
13,4.008112,1.971619,7.582272
14,4.063555,2.294375,6.164819
15,4.142011,2.165242,9.422755
16,3.859151,2.131366,4.213031
17,4.026054,2.090583,4.164119
18,3.99318,1.941646,5.757889
19,4.033609,1.940558,4.297593
20,4.14894,1.881198,4.579662
21,3.918777,1.958127,4.608128
22,3.959961,1.95623,4.886741
23,3.906289,1.9211,4.947954
24,3.919919,2.028732,4.645169
25,4.119387,2.527256,5.080426
26,4.009281,1.93161,4.544914
27,3.958901,1.906983,4.312791
28,4.021883,2.090447,4.336866
29,3.924591,1.900577,4.425399
30,4.14414,2.033481,4.289438
31,3.967677,2.086876,4.522955
32,3.916958,2.032726,4.496912
33,4.121045,2.13548,5.11685
34,4.169636,3.029697,4.820322
35,4.071136,2.149406,4.583118
36,4.049821,2.209671,4.898776
37,3.923985,2.068183,4.715202
38,4.016444,1.974899,4.609921
39,4.104383,2.223456,6.375505
40,4.174431,2.550924,4.593207
41,4.058378,2.053073,4.336106
42,4.116063,1.916152,4.577364
43,4.084448,1.952165,4.42605
44,3.996392,2.095868,4.416305
45,3.935198,2.028411,4.337141
46,3.958946,2.831752,4.454619
47,3.837762,2.279291,4.986653
48,4.093831,2.001115,4.422108
49,3.881061,2.029953,4.376785
50,4.039781,2.081127,10.340954
51,4.062077,1.910733,5.3014
52,4.034485,2.176191,7.271797
53,4.032058,2.309012,4.328342
54,3.955625,2.134546,4.465905
55,4.053696,2.224043,4.733319
56,4.12641,2.31555,5.130836
57,4.050842,2.171767,4.571324
58,3.979631,2.290134,4.419499
59,4.079666,2.854949,4.520251
60,4.015513,1.876171,4.14378
61,3.967078,2.147155,4.417131
62,4.050893,2.081834,4.351171
63,4.001739,2.734118,4.342355
64,3.913299,2.169527,5.425319
65,4.061037,2.414261,4.68036
66,4.040644,2.00192,4.496037
67,4.117224,1.92062,4.545159
68,3.876202,1.998165,4.169132
69,4.030555,2.105575,4.417437
70,4.246782,2.216973,5.349117
71,3.927924,2.212853,4.750437
72,4.063098,2.192783,4.755941
73,4.067131,1.877952,4.279147
74,3.882554,2.038813,4.57721
75,4.095754,1.894161,4.385585
76,3.863212,2.078976,4.286555
77,4.049718,2.045764,4.34145
78,3.996184,1.821238,4.365059
79,3.931823,1.975513,4.435421
80,4.240971,1.736153,4.34068
81,3.877967,1.986665,4.260586
82,4.204434,2.025507,5.408327
83,4.090553,2.735077,4.507799
84,4.019304,1.883611,4.690454
85,4.19194,2.392108,4.495624
86,4.023071,2.20183,4.811024
87,3.778703,2.153447,4.572421
88,4.140666,2.075975,4.426592
89,3.995768,2.18684,4.673035
90,4.065098,2.15544,4.643834
91,4.038302,2.007537,4.511287
92,3.89936,2.441227,4.673591
93,4.110707,1.983159,4.282064
94,4.115602,1.945413,5.716036
95,4.199812,2.882181,5.301276
96,3.971297,2.103867,5.238201
97,5.530453,2.510349,4.4422
98,4.078169,2.116628,4.445807
99,3.939901,2.04049,4.442222
,4.03497586,2.14455072,4.92101008
