,pull,train,push
0,12.607229,17.428983,16.130957
1,11.284469,17.466175,14.977023
2,11.312866,17.456928,14.576406
3,11.061896,18.338609,14.625582
4,11.304532,17.576429,15.814274
5,11.215006,17.073131,15.797078
6,11.087437,17.668803,14.476657
7,11.198122,17.26585,14.466835
8,11.081108,17.419516,14.862078
9,11.228273,17.662206,14.621238
10,11.332866,17.165434,14.905851
11,11.248407,17.045574,14.343573
12,11.348707,17.310245,14.476858
13,11.213152,17.372579,15.344319
14,11.288612,83.257045,14.976604
15,11.608963,17.342424,14.780067
16,11.203472,17.564044,15.433733
17,11.387095,17.237104,15.613426
18,11.173044,17.582808,13.876603
19,11.359492,16.979423,13.902631
20,11.225603,16.870718,13.985734
21,11.290496,17.394607,13.764533
22,11.127785,16.742231,13.89797
23,11.091362,17.472152,14.694922
24,11.585829,17.158174,14.489029
25,11.263617,16.991846,14.398694
26,11.033721,17.309135,14.164145
27,11.231323,16.997244,13.522858
28,11.188141,17.282155,15.607715
29,11.323283,17.205731,13.913441
30,11.363651,17.126816,13.810675
31,11.05927,17.12843,13.893427
32,11.249087,17.076266,14.013427
33,11.13529,16.88541,13.784584
34,11.311566,17.378925,14.103331
35,11.23576,17.375768,14.14818
36,11.164327,17.110539,14.226275
37,11.200954,17.026736,14.075645
38,11.237268,17.109143,13.702162
39,11.274969,17.279486,14.140549
40,11.258947,17.06355,14.613316
41,11.477654,17.000379,14.299663
42,11.258237,16.913477,14.336229
43,11.237531,17.256333,14.010854
44,11.253139,17.118568,13.956965
45,11.459626,17.047574,13.885099
46,11.519803,17.383728,14.423375
47,11.256424,17.057304,14.199344
48,10.987914,17.383475,14.286041
49,11.163926,16.990678,13.825628
,11.28022502,18.56699776,14.44351206
