,pull,train,push
0,7.509559,13.400568,8.949199
1,6.409406,8.040449,10.08911
2,5.930159,7.921934,10.33071
3,7.446982,7.669685,9.920273
4,6.020233,7.871227,9.518097
5,6.057613,7.848894,9.899309
6,7.619075,7.960766,9.669602
7,6.070804,7.920251,10.629379
8,6.209699,7.712187,9.938164
9,7.621817,7.752419,9.777474
10,6.331618,7.869018,10.020564
11,5.999345,7.99001,10.029062
12,7.989064,8.020124,9.468796
13,6.069729,8.060632,9.439829
14,6.142134,7.939875,9.968279
15,7.742496,7.941334,10.45868
16,6.840301,8.200092,9.549608
17,7.180055,7.799881,10.779039
18,6.951067,7.89082,10.899854
19,6.400483,7.721102,10.398433
20,6.179131,8.110026,9.179115
21,8.289711,8.231474,9.877812
22,6.109497,7.919294,10.819617
23,6.351093,8.149672,10.127697
24,8.929782,7.849786,9.389168
