,pull,train,push
0,10.302736,16.825471,12.230271
1,9.620256,16.939051,12.124714
2,9.946305,16.783409,12.23493
3,9.851718,17.342472,11.958806
4,9.634286,17.125318,12.207776
5,9.875232,17.141087,12.71162
6,9.788587,16.834947,11.761751
7,9.695829,16.733956,12.043394
8,9.664126,16.826354,11.990837
9,9.743027,17.039889,12.125725
10,10.039987,16.691409,12.182724
11,10.199329,25.116827,12.429126
12,9.858896,17.05334,12.143128
13,9.628607,17.186089,11.813573
14,9.788836,17.197019,11.989933
15,9.86103,17.075047,12.683557
16,9.825865,16.927508,12.094303
17,9.927528,16.787314,12.606181
18,9.937108,17.095264,12.324119
19,9.606427,17.034343,12.108127
20,9.890401,16.863728,12.053987
21,9.738115,17.243302,13.484911
22,9.810846,17.188681,12.843102
23,9.782234,17.385247,12.618331
24,10.075491,16.984503,12.149104
25,9.95081,17.028375,12.297189
26,9.780169,17.101167,12.160574
27,9.831359,17.087384,12.230607
28,9.780591,16.659091,13.144148
29,9.860409,17.145773,12.067604
30,9.909062,17.278879,12.333237
31,9.800944,16.8902,12.49719
32,9.694905,16.740985,12.004884
33,9.632778,17.238719,12.762875
34,9.749575,17.121339,12.574996
35,9.781577,16.956378,12.096857
36,9.795888,17.093161,12.332486
37,9.853866,17.308507,11.819699
38,9.807652,16.855176,12.16449
39,9.736526,17.497985,12.488593
40,9.841494,16.935913,12.388609
41,9.802078,16.961145,13.002827
42,10.020324,17.131626,12.009975
43,9.634436,17.280679,12.161135
44,9.573107,17.13713,12.306233
45,9.864925,17.16097,12.015031
46,9.742293,16.975711,12.046396
47,9.77756,17.008679,12.117588
48,9.680797,16.989801,12.196725
49,9.764407,16.999496,12.203656
,9.81520668,17.20011688,12.28675268
